Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,02/11/2025,02:25,02/11/2025,11:01,08:36,"WP19, WP11, WP1"
102,02/11/2025,08:09,02/11/2025,17:45,09:36,"WP24, WP22, WP10"
103,02/11/2025,19:33,03/11/2025,19:33,24:00,"WP18, WP23, WP3, WP13, WP23, WP19, WP1"
104,02/11/2025,18:06,03/11/2025,02:54,08:48,"WP17, WP19"
105,02/11/2025,02:34,02/11/2025,04:10,01:36,WP15
106,02/11/2025,05:02,02/11/2025,17:38,12:36,"WP10, WP21, WP22, WP14, WP4, WP9"
107,02/11/2025,00:31,02/11/2025,02:07,01:36,WP16
108,02/11/2025,04:04,02/11/2025,04:40,00:36,WP7
109,02/11/2025,23:53,03/11/2025,05:17,05:24,"WP21, WP6"
110,02/11/2025,19:52,02/11/2025,21:04,01:12,WP14
111,02/11/2025,14:15,02/11/2025,18:39,04:24,"WP12, WP22"
112,02/11/2025,18:42,02/11/2025,19:30,00:48,WP1
113,02/11/2025,14:45,02/11/2025,18:09,03:24,"WP4, WP18, WP14"
114,02/11/2025,15:37,02/11/2025,21:13,05:36,"WP22, WP1, WP3"
115,02/11/2025,05:57,02/11/2025,07:21,01:24,"WP6, WP1"
116,02/11/2025,23:44,03/11/2025,00:32,00:48,WP5
117,02/11/2025,17:33,03/11/2025,00:21,06:48,"WP20, WP2"
118,02/11/2025,16:11,02/11/2025,16:47,00:36,WP8
119,02/11/2025,02:54,02/11/2025,09:30,06:36,"WP23, WP4"
120,02/11/2025,06:50,02/11/2025,07:38,00:48,WP2
