Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,18/08/2025,06:55,19/08/2025,10:07,27:12,"WP15, WP17"
102,18/08/2025,15:52,18/08/2025,18:52,03:00,"WP1, WP7, WP16"
103,18/08/2025,22:01,19/08/2025,05:25,07:24,"WP7, WP12, WP23"
104,18/08/2025,12:43,18/08/2025,14:55,02:12,"WP8, WP18"
105,18/08/2025,02:14,19/08/2025,06:14,28:00,"WP3, WP1, WP13, WP5"
106,18/08/2025,12:42,18/08/2025,23:42,11:00,"WP18, WP19, WP6, WP16"
107,18/08/2025,15:31,18/08/2025,21:31,06:00,"WP24, WP13"
108,18/08/2025,02:09,18/08/2025,14:09,12:00,"WP19, WP22, WP14"
109,18/08/2025,05:31,19/08/2025,08:19,26:48,"WP16, WP3"
110,18/08/2025,21:51,19/08/2025,00:27,02:36,"WP4, WP9, WP12"
111,18/08/2025,05:08,18/08/2025,12:20,07:12,"WP9, WP20"
112,18/08/2025,07:18,19/08/2025,10:42,27:24,"WP6, WP13, WP17"
113,18/08/2025,18:28,18/08/2025,20:28,02:00,"WP12, WP13"
114,18/08/2025,03:32,18/08/2025,08:20,04:48,"WP10, WP22"
115,18/08/2025,20:26,18/08/2025,23:02,02:36,"WP2, WP8, WP9"
116,18/08/2025,10:08,18/08/2025,15:32,05:24,"WP13, WP22, WP11"
117,18/08/2025,06:11,18/08/2025,12:59,06:48,"WP21, WP2, WP10"
118,18/08/2025,19:40,19/08/2025,21:28,25:48,"WP14, WP8"
119,18/08/2025,11:41,19/08/2025,07:17,19:36,"WP24, WP16, WP20, WP19"
120,18/08/2025,13:26,19/08/2025,14:38,25:12,WP9
