Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,18/01/2025,22:30,19/01/2025,02:18,03:48,"WP17, WP16, WP7"
102,18/01/2025,10:38,18/01/2025,19:14,08:36,"WP19, WP5, WP7"
103,18/01/2025,18:42,19/01/2025,20:54,26:12,"WP6, WP18"
104,18/01/2025,08:35,18/01/2025,14:35,06:00,"WP9, WP21"
105,18/01/2025,04:00,18/01/2025,09:12,05:12,"WP15, WP22"
106,18/01/2025,14:08,18/01/2025,22:56,08:48,"WP4, WP11, WP20, WP16"
107,18/01/2025,11:09,18/01/2025,21:33,10:24,"WP2, WP3, WP19, WP10"
108,18/01/2025,02:12,18/01/2025,05:00,02:48,"WP3, WP18"
109,18/01/2025,16:41,18/01/2025,22:05,05:24,"WP24, WP6"
110,18/01/2025,18:45,19/01/2025,19:57,25:12,"WP7, WP11"
111,18/01/2025,08:47,18/01/2025,12:59,04:12,"WP8, WP22"
112,18/01/2025,16:08,19/01/2025,07:32,15:24,"WP10, WP23, WP18, WP22, WP6, WP13, WP8, WP7"
113,18/01/2025,06:37,19/01/2025,09:01,26:24,"WP16, WP12"
114,18/01/2025,02:28,18/01/2025,04:28,02:00,"WP12, WP7, WP4"
115,18/01/2025,18:53,19/01/2025,00:29,05:36,"WP5, WP21"
116,18/01/2025,12:10,19/01/2025,13:22,25:12,WP14
117,18/01/2025,16:44,18/01/2025,23:20,06:36,"WP20, WP8"
118,18/01/2025,19:34,19/01/2025,23:34,28:00,"WP8, WP11, WP3, WP2, WP1"
119,18/01/2025,07:10,18/01/2025,10:46,03:36,WP22
120,18/01/2025,03:11,19/01/2025,04:47,25:36,WP17
