Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,06/07/2025,16:39,06/07/2025,17:27,00:48,WP5
102,06/07/2025,22:45,07/07/2025,11:21,12:36,"WP24, WP20, WP11, WP3"
103,06/07/2025,23:38,07/07/2025,07:26,07:48,"WP19, WP7"
104,06/07/2025,12:45,06/07/2025,13:21,00:36,WP6
105,06/07/2025,21:57,06/07/2025,23:21,01:24,"WP8, WP2"
106,06/07/2025,14:11,06/07/2025,17:47,03:36,"WP16, WP5, WP13"
107,06/07/2025,19:40,06/07/2025,22:28,02:48,"WP14, WP15"
108,06/07/2025,07:37,06/07/2025,09:49,02:12,"WP1, WP1, WP4"
109,06/07/2025,22:40,06/07/2025,23:16,00:36,WP11
110,06/07/2025,21:27,07/07/2025,16:51,19:24,"WP21, WP7, WP1, WP9, WP23, WP23"
111,06/07/2025,07:37,06/07/2025,09:13,01:36,WP18
112,06/07/2025,20:58,06/07/2025,22:10,01:12,WP13
113,06/07/2025,08:50,07/07/2025,02:26,17:36,"WP22, WP19, WP23, WP5"
114,06/07/2025,15:30,06/07/2025,21:30,06:00,WP20
115,06/07/2025,11:50,06/07/2025,13:02,01:12,WP10
116,06/07/2025,22:58,07/07/2025,00:10,01:12,WP9
117,06/07/2025,18:47,06/07/2025,20:23,01:36,WP15
118,06/07/2025,04:42,06/07/2025,05:54,01:12,WP3
119,06/07/2025,10:28,06/07/2025,19:40,09:12,"WP17, WP21, WP18, WP3"
120,06/07/2025,00:34,06/07/2025,01:22,00:48,WP12
