Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,10/01/2025,02:02,10/01/2025,11:38,09:36,"WP20, WP22"
102,10/01/2025,19:21,11/01/2025,23:09,27:48,"WP1, WP2, WP6, WP18"
103,10/01/2025,02:32,10/01/2025,04:20,01:48,"WP10, WP6"
104,10/01/2025,21:59,11/01/2025,00:11,02:12,"WP8, WP18"
105,10/01/2025,17:27,11/01/2025,19:27,26:00,"WP3, WP5"
106,10/01/2025,10:43,10/01/2025,12:43,02:00,"WP13, WP1"
107,10/01/2025,19:23,10/01/2025,22:11,02:48,"WP15, WP14"
108,10/01/2025,22:10,11/01/2025,05:22,07:12,"WP23, WP13"
109,10/01/2025,22:41,11/01/2025,10:29,11:48,"WP4, WP22, WP13, WP24, WP15"
110,10/01/2025,13:39,10/01/2025,22:03,08:24,"WP22, WP21"
111,10/01/2025,00:40,10/01/2025,10:52,10:12,"WP7, WP19, WP3, WP10"
112,10/01/2025,19:54,10/01/2025,22:42,02:48,"WP14, WP16"
113,10/01/2025,02:21,11/01/2025,04:09,25:48,"WP6, WP9"
114,10/01/2025,09:45,11/01/2025,11:33,25:48,"WP11, WP10"
115,10/01/2025,16:12,11/01/2025,18:36,26:24,"WP5, WP17"
116,10/01/2025,02:48,10/01/2025,12:00,09:12,"WP12, WP22, WP24"
117,10/01/2025,21:07,11/01/2025,23:55,26:48,"WP9, WP17"
118,10/01/2025,10:51,10/01/2025,23:39,12:48,"WP2, WP19, WP10, WP18, WP1, WP9"
119,10/01/2025,10:05,10/01/2025,16:17,06:12,"WP1, WP21, WP7"
120,10/01/2025,04:07,10/01/2025,10:07,06:00,WP23
