Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,08/02/2025,12:54,08/02/2025,19:18,06:24,"WP18, WP24"
102,08/02/2025,20:56,08/02/2025,21:44,00:48,WP5
103,08/02/2025,17:41,09/02/2025,09:17,15:36,"WP16, WP17, WP23, WP17, WP24"
104,08/02/2025,17:10,08/02/2025,17:46,00:36,WP6
105,08/02/2025,09:05,08/02/2025,11:29,02:24,"WP1, WP12, WP1"
106,08/02/2025,23:38,09/02/2025,00:50,01:12,WP3
107,08/02/2025,20:36,09/02/2025,01:24,04:48,WP24
108,08/02/2025,14:54,08/02/2025,21:42,06:48,"WP12, WP24, WP3"
109,08/02/2025,02:48,08/02/2025,04:36,01:48,"WP8, WP3"
110,08/02/2025,03:18,08/02/2025,13:06,09:48,"WP13, WP3, WP1, WP9, WP24, WP7"
111,08/02/2025,05:36,08/02/2025,18:48,13:12,"WP20, WP19"
112,08/02/2025,16:20,08/02/2025,23:32,07:12,"WP14, WP22, WP5, WP16"
113,08/02/2025,19:09,08/02/2025,19:45,00:36,WP11
114,08/02/2025,18:31,08/02/2025,20:07,01:36,WP17
115,08/02/2025,16:28,09/02/2025,01:16,08:48,"WP23, WP10, WP17"
116,08/02/2025,12:12,08/02/2025,15:24,03:12,"WP15, WP15"
117,08/02/2025,16:13,09/02/2025,08:13,16:00,"WP21, WP15, WP19, WP8, WP10, WP4"
118,08/02/2025,04:32,08/02/2025,11:08,06:36,"WP4, WP23"
119,08/02/2025,00:32,08/02/2025,01:20,00:48,WP2
120,08/02/2025,05:27,08/02/2025,06:39,01:12,"WP7, WP6"
