Filename,Total Aircraft Serial Numbers,Total Turnaround Time Minutes,Average Turnaround Time,Total Number WPs,Average Number WPs,Total Work Minutes,Average Personnel per WP
aircrafts_sample_1,20,15180,12:39,53,2.65,5450,2.43
aircrafts_sample_10,20,16968,14:08,47,2.35,4540,2.34
aircrafts_sample_11,20,17424,14:31,59,2.95,4920,2.37
aircrafts_sample_12,20,12696,10:34,53,2.65,4580,2.32
aircrafts_sample_13,20,14472,12:03,54,2.7,4860,2.41
aircrafts_sample_14,20,16668,13:53,58,2.9,5490,2.38
aircrafts_sample_15,20,13632,11:21,49,2.45,5360,2.47
aircrafts_sample_16,20,13488,11:14,54,2.7,5240,2.43
aircrafts_sample_17,20,15228,12:41,53,2.65,5490,2.47
aircrafts_sample_18,20,10332,8:36,53,2.65,5010,2.4
aircrafts_sample_19,20,14064,11:43,54,2.7,4520,2.37
aircrafts_sample_2,20,16032,13:21,51,2.55,4960,2.41
aircrafts_sample_20,20,15300,12:45,55,2.75,5550,2.44
aircrafts_sample_21,20,12564,10:28,57,2.85,5670,2.39
aircrafts_sample_22,20,14700,12:15,53,2.65,5050,2.43
aircrafts_sample_23,20,16344,13:37,58,2.9,5220,2.43
aircrafts_sample_24,20,10236,8:31,54,2.7,4930,2.39
aircrafts_sample_25,20,11316,9:25,49,2.45,4630,2.35
aircrafts_sample_26,20,16176,13:28,52,2.6,5080,2.37
aircrafts_sample_27,20,21900,18:15,52,2.6,5050,2.48
aircrafts_sample_28,20,12192,10:09,65,3.25,5360,2.35
aircrafts_sample_29,20,14100,11:45,51,2.55,4550,2.35
aircrafts_sample_3,20,15132,12:36,57,2.85,5410,2.46
aircrafts_sample_30,20,14484,12:04,58,2.9,4870,2.38
aircrafts_sample_31,20,11328,9:26,42,2.1,4640,2.4
aircrafts_sample_32,20,10812,9:00,55,2.75,5410,2.4
aircrafts_sample_33,20,11808,9:50,50,2.5,5040,2.44
aircrafts_sample_34,20,10332,8:36,48,2.4,5010,2.46
aircrafts_sample_35,20,15096,12:34,52,2.6,5380,2.48
aircrafts_sample_36,20,16524,13:46,59,2.95,5370,2.44
aircrafts_sample_37,20,16812,14:00,56,2.8,5610,2.46
aircrafts_sample_38,20,14568,12:08,52,2.6,4940,2.44
aircrafts_sample_39,20,13740,11:27,54,2.7,5450,2.46
aircrafts_sample_4,20,16380,13:39,55,2.75,5250,2.4
aircrafts_sample_40,20,14892,12:24,49,2.45,5210,2.55
aircrafts_sample_41,20,15336,12:46,54,2.7,5580,2.41
aircrafts_sample_42,20,12444,10:22,54,2.7,5570,2.44
aircrafts_sample_43,20,13440,11:12,53,2.65,5200,2.47
aircrafts_sample_44,20,19008,15:50,48,2.4,5040,2.46
aircrafts_sample_45,20,15516,12:55,53,2.65,4530,2.4
aircrafts_sample_46,20,16920,14:06,61,3.05,5700,2.38
aircrafts_sample_47,20,12696,10:34,49,2.45,4580,2.45
aircrafts_sample_48,20,13440,11:12,51,2.55,5200,2.45
aircrafts_sample_49,20,10956,9:07,61,3.05,5530,2.34
aircrafts_sample_5,20,19740,16:27,57,2.85,5650,2.35
aircrafts_sample_50,20,16368,13:38,52,2.6,5240,2.46
aircrafts_sample_51,20,12000,10:00,53,2.65,5200,2.43
aircrafts_sample_52,20,16860,14:03,47,2.35,4450,2.38
aircrafts_sample_53,20,12132,10:06,60,3.0,5310,2.32
aircrafts_sample_54,20,13992,11:39,64,3.2,5660,2.33
aircrafts_sample_55,20,13260,11:03,53,2.65,5050,2.42
aircrafts_sample_56,20,13608,11:20,51,2.55,5340,2.49
aircrafts_sample_57,20,12276,10:13,57,2.85,5430,2.4
aircrafts_sample_58,20,13248,11:02,48,2.4,5040,2.44
aircrafts_sample_59,20,14700,12:15,50,2.5,5050,2.48
aircrafts_sample_6,20,16524,13:46,56,2.8,5370,2.43
aircrafts_sample_60,20,16272,13:33,55,2.75,5160,2.42
aircrafts_sample_61,20,16032,13:21,54,2.7,4960,2.41
aircrafts_sample_62,20,12144,10:07,55,2.75,5320,2.4
aircrafts_sample_63,20,14916,12:25,53,2.65,5230,2.49
aircrafts_sample_64,20,9516,7:55,58,2.9,5530,2.47
aircrafts_sample_65,20,16692,13:54,51,2.55,5510,2.47
aircrafts_sample_66,20,19896,16:34,48,2.4,4580,2.42
aircrafts_sample_67,20,13236,11:01,55,2.75,5030,2.36
aircrafts_sample_68,20,20544,17:07,55,2.75,5120,2.38
aircrafts_sample_69,20,16332,13:36,61,3.05,5210,2.34
aircrafts_sample_7,20,11628,9:41,52,2.6,4890,2.38
aircrafts_sample_70,20,17520,14:36,59,2.95,5000,2.36
aircrafts_sample_71,20,15276,12:43,53,2.65,5530,2.47
aircrafts_sample_72,20,14604,12:10,54,2.7,4970,2.44
aircrafts_sample_73,20,16740,13:57,57,2.85,5550,2.49
aircrafts_sample_74,20,14796,12:19,50,2.5,5130,2.44
aircrafts_sample_75,20,16152,13:27,48,2.4,5060,2.38
aircrafts_sample_76,20,14772,12:18,54,2.7,5110,2.41
aircrafts_sample_77,20,19488,16:14,56,2.8,5440,2.43
aircrafts_sample_78,20,14940,12:27,54,2.7,5250,2.48
aircrafts_sample_79,20,13944,11:37,47,2.35,4420,2.45
aircrafts_sample_8,20,13596,11:19,58,2.9,5330,2.43
aircrafts_sample_80,20,16344,13:37,51,2.55,5220,2.47
aircrafts_sample_9,20,15084,12:34,51,2.55,5370,2.49
