Filename,Total Aircraft Serial Numbers,Total Turnaround Time Minutes,Average Turnaround Time,Total Number WPs,Average Number WPs,Total Work Minutes,Average Personnel per WP
aircrafts_instance_1,20,5592,4:39,45,2.25,4660,2.42
aircrafts_instance_10,20,5856,4:52,49,2.45,4880,2.43
aircrafts_instance_11,20,6432,5:21,46,2.3,5360,2.48
aircrafts_instance_12,20,6120,5:06,49,2.45,5100,2.43
aircrafts_instance_13,20,5832,4:51,46,2.3,4860,2.39
aircrafts_instance_14,20,5676,4:43,43,2.15,4730,2.49
aircrafts_instance_15,20,6300,5:15,50,2.5,5250,2.4
aircrafts_instance_16,20,5364,4:28,43,2.15,4470,2.47
aircrafts_instance_17,20,6168,5:08,47,2.35,5140,2.4
aircrafts_instance_18,20,6648,5:32,53,2.65,5540,2.4
aircrafts_instance_19,20,6420,5:21,49,2.45,5350,2.45
aircrafts_instance_2,20,6216,5:10,42,2.1,5180,2.48
aircrafts_instance_20,20,5220,4:21,41,2.05,4350,2.49
aircrafts_instance_3,20,6432,5:21,44,2.2,5360,2.52
aircrafts_instance_4,20,6516,5:25,50,2.5,5430,2.46
aircrafts_instance_5,20,5604,4:40,41,2.05,4670,2.44
aircrafts_instance_6,20,6312,5:15,45,2.25,5260,2.47
aircrafts_instance_7,20,5964,4:58,47,2.35,4970,2.49
aircrafts_instance_8,20,5724,4:46,39,1.95,4770,2.54
aircrafts_instance_9,20,6036,5:01,48,2.4,5030,2.52
