Problem ID,Run Number,Initial Best,Evals,Improved Fitness,Missing Staff
aircrafts_instance_1,1,0,141815,0,0
aircrafts_instance_1,2,0,65617,0,0
aircrafts_instance_1,3,0,80246,0,0
aircrafts_instance_1,4,0,84272,0,0
aircrafts_instance_1,5,0,79529,0,0
aircrafts_instance_1,6,0,87359,0,0
aircrafts_instance_1,7,0,71282,0,0
aircrafts_instance_1,8,0,61950,0,0
aircrafts_instance_1,9,0,79581,0,0
aircrafts_instance_1,10,0,63444,0,0
aircrafts_instance_10,1,0,92719,0,0
aircrafts_instance_10,2,0,62628,0,0
aircrafts_instance_10,3,0,92348,0,0
aircrafts_instance_10,4,0,104690,0,0
aircrafts_instance_10,5,3,121090,3,3
aircrafts_instance_10,6,0,93607,0,0
aircrafts_instance_10,7,0,98519,0,0
aircrafts_instance_10,8,0,76622,0,0
aircrafts_instance_10,9,3,132179,3,3
aircrafts_instance_10,10,0,121289,0,0
aircrafts_instance_11,1,0,50038,0,0
aircrafts_instance_11,2,0,72401,0,0
aircrafts_instance_11,3,0,77621,0,0
aircrafts_instance_11,4,0,84561,0,0
aircrafts_instance_11,5,0,53331,0,0
aircrafts_instance_11,6,2,141961,2,2
aircrafts_instance_11,7,0,77952,0,0
aircrafts_instance_11,8,0,128394,0,0
aircrafts_instance_11,9,0,60556,0,0
aircrafts_instance_11,10,0,62538,0,0
aircrafts_instance_12,1,0,79056,0,0
aircrafts_instance_12,2,0,71827,0,0
aircrafts_instance_12,3,0,106290,0,0
aircrafts_instance_12,4,0,113496,0,0
aircrafts_instance_12,5,0,89489,0,0
aircrafts_instance_12,6,0,83098,0,0
aircrafts_instance_12,7,0,49467,0,0
aircrafts_instance_12,8,0,72404,0,0
aircrafts_instance_12,9,0,79220,0,0
aircrafts_instance_12,10,0,98472,0,0
aircrafts_instance_13,1,8,154264,8,8
aircrafts_instance_13,2,3,108175,3,3
aircrafts_instance_13,3,0,119910,0,0
aircrafts_instance_13,4,2,159750,2,2
aircrafts_instance_13,5,5,71892,5,5
aircrafts_instance_13,6,3,120976,3,3
aircrafts_instance_13,7,0,90535,0,0
aircrafts_instance_13,8,10,92134,10,0
aircrafts_instance_13,9,3,170469,3,3
aircrafts_instance_13,10,10,76018,10,0
aircrafts_instance_14,1,0,99602,0,0
aircrafts_instance_14,2,0,123384,0,0
aircrafts_instance_14,3,0,88221,0,0
aircrafts_instance_14,4,0,78423,0,0
aircrafts_instance_14,5,0,163034,0,0
aircrafts_instance_14,6,1,81747,1,1
aircrafts_instance_14,7,0,135488,0,0
aircrafts_instance_14,8,0,74633,0,0
aircrafts_instance_14,9,2,69844,2,2
aircrafts_instance_14,10,0,93346,0,0
aircrafts_instance_15,1,0,146766,0,0
aircrafts_instance_15,2,1,142266,1,1
aircrafts_instance_15,3,0,178728,0,0
aircrafts_instance_15,4,0,98467,0,0
aircrafts_instance_15,5,0,152182,0,0
aircrafts_instance_15,6,0,127431,0,0
aircrafts_instance_15,7,1,151540,1,1
aircrafts_instance_15,8,0,117688,0,0
aircrafts_instance_15,9,1,111761,1,1
aircrafts_instance_15,10,2,105780,2,2
aircrafts_instance_16,1,0,99855,0,0
aircrafts_instance_16,2,0,61760,0,0
aircrafts_instance_16,3,0,107822,0,0
aircrafts_instance_16,4,0,52947,0,0
aircrafts_instance_16,5,0,56298,0,0
aircrafts_instance_16,6,0,64726,0,0
aircrafts_instance_16,7,0,95549,0,0
aircrafts_instance_16,8,0,82418,0,0
aircrafts_instance_16,9,0,47526,0,0
aircrafts_instance_16,10,0,93998,0,0
aircrafts_instance_17,1,0,80189,0,0
aircrafts_instance_17,2,0,96594,0,0
aircrafts_instance_17,3,0,129143,0,0
aircrafts_instance_17,4,0,129688,0,0
aircrafts_instance_17,5,0,94421,0,0
aircrafts_instance_17,6,0,135379,0,0
aircrafts_instance_17,7,0,99332,0,0
aircrafts_instance_17,8,0,106824,0,0
aircrafts_instance_17,9,1,113787,1,1
aircrafts_instance_17,10,0,67207,0,0
aircrafts_instance_18,1,0,96988,0,0
aircrafts_instance_18,2,0,90241,0,0
aircrafts_instance_18,3,0,87456,0,0
aircrafts_instance_18,4,0,117084,0,0
aircrafts_instance_18,5,0,67160,0,0
aircrafts_instance_18,6,0,120420,0,0
aircrafts_instance_18,7,0,90978,0,0
aircrafts_instance_18,8,0,87059,0,0
aircrafts_instance_18,9,0,72069,0,0
aircrafts_instance_18,10,1,105847,1,1
aircrafts_instance_19,1,0,114379,0,0
aircrafts_instance_19,2,0,76789,0,0
aircrafts_instance_19,3,1,186820,1,1
aircrafts_instance_19,4,0,164184,0,0
aircrafts_instance_19,5,1,156162,1,1
aircrafts_instance_19,6,0,158417,0,0
aircrafts_instance_19,7,0,119683,0,0
aircrafts_instance_19,8,0,148949,0,0
aircrafts_instance_19,9,1,157793,1,1
aircrafts_instance_19,10,0,105144,0,0
aircrafts_instance_2,1,1,137861,1,1
aircrafts_instance_2,2,0,82014,0,0
aircrafts_instance_2,3,0,62740,0,0
aircrafts_instance_2,4,0,119171,0,0
aircrafts_instance_2,5,0,76973,0,0
aircrafts_instance_2,6,0,149176,0,0
aircrafts_instance_2,7,0,79870,0,0
aircrafts_instance_2,8,1,140805,1,1
aircrafts_instance_2,9,0,108915,0,0
aircrafts_instance_2,10,0,114489,0,0
aircrafts_instance_20,1,0,71157,0,0
aircrafts_instance_20,2,0,57944,0,0
aircrafts_instance_20,3,0,119922,0,0
aircrafts_instance_20,4,0,80834,0,0
aircrafts_instance_20,5,0,46450,0,0
aircrafts_instance_20,6,1,89003,1,1
aircrafts_instance_20,7,0,55019,0,0
aircrafts_instance_20,8,0,78389,0,0
aircrafts_instance_20,9,0,80968,0,0
aircrafts_instance_20,10,0,46618,0,0
aircrafts_instance_3,1,0,116084,0,0
aircrafts_instance_3,2,0,120809,0,0
aircrafts_instance_3,3,0,128571,0,0
aircrafts_instance_3,4,0,131502,0,0
aircrafts_instance_3,5,0,135016,0,0
aircrafts_instance_3,6,1,193961,1,1
aircrafts_instance_3,7,0,100759,0,0
aircrafts_instance_3,8,0,102895,0,0
aircrafts_instance_3,9,0,146547,0,0
aircrafts_instance_3,10,3,193880,3,3
aircrafts_instance_4,1,0,133739,0,0
aircrafts_instance_4,2,0,152522,0,0
aircrafts_instance_4,3,0,151518,0,0
aircrafts_instance_4,4,0,143917,0,0
aircrafts_instance_4,5,0,127704,0,0
aircrafts_instance_4,6,0,106601,0,0
aircrafts_instance_4,7,0,112820,0,0
aircrafts_instance_4,8,0,123309,0,0
aircrafts_instance_4,9,2,89746,2,2
aircrafts_instance_4,10,0,171804,0,0
aircrafts_instance_5,1,0,50979,0,0
aircrafts_instance_5,2,0,60639,0,0
