Problem ID,Run Number,Initial Best,Evals,Improved Fitness,Missing Staff
aircrafts_instance_1,1,,19866,0,0
aircrafts_instance_1,2,,20423,0,0
aircrafts_instance_1,3,,24718,0,0
aircrafts_instance_1,4,,23450,0,0
aircrafts_instance_1,5,,27040,0,0
aircrafts_instance_1,6,,16494,0,0
aircrafts_instance_1,7,,20924,0,0
aircrafts_instance_1,8,,23991,0,0
aircrafts_instance_1,9,,25600,0,0
aircrafts_instance_1,10,,17737,0,0
aircrafts_instance_10,1,,33716,0,0
aircrafts_instance_10,2,,29749,0,0
aircrafts_instance_10,3,,29025,0,0
aircrafts_instance_10,4,,12970,0,0
aircrafts_instance_10,5,,22429,0,0
aircrafts_instance_10,6,,33135,0,0
aircrafts_instance_10,7,,23452,0,0
aircrafts_instance_10,8,,26336,0,0
aircrafts_instance_10,9,,31957,0,0
aircrafts_instance_10,10,,27424,0,0
aircrafts_instance_11,1,,17019,0,0
aircrafts_instance_11,2,,21830,0,0
aircrafts_instance_11,3,,24998,0,0
aircrafts_instance_11,4,,18307,0,0
aircrafts_instance_11,5,,17180,0,0
aircrafts_instance_11,6,,20160,0,0
aircrafts_instance_11,7,,20169,0,0
aircrafts_instance_11,8,,24767,0,0
aircrafts_instance_11,9,,39783,0,0
aircrafts_instance_11,10,,22322,0,0
aircrafts_instance_12,1,,37481,0,0
aircrafts_instance_12,2,,28076,0,0
aircrafts_instance_12,3,,20397,0,0
aircrafts_instance_12,4,,27082,0,0
aircrafts_instance_12,5,,26422,0,0
aircrafts_instance_12,6,,27920,0,0
aircrafts_instance_12,7,,31684,0,0
aircrafts_instance_12,8,,36610,0,0
aircrafts_instance_12,9,,38193,0,0
aircrafts_instance_12,10,,33033,0,0
aircrafts_instance_13,1,,33720,0,0
aircrafts_instance_13,2,,142268,0,0
aircrafts_instance_13,3,,589996,0,0
aircrafts_instance_13,4,,29449,0,0
aircrafts_instance_13,5,,52945,0,0
aircrafts_instance_13,6,,46440,1,1
aircrafts_instance_13,7,,36286,0,0
aircrafts_instance_13,8,,23217,1,1
aircrafts_instance_13,9,,28468,0,0
aircrafts_instance_13,10,,27694,0,0
aircrafts_instance_14,1,,12813,0,0
aircrafts_instance_14,2,,20069,0,0
aircrafts_instance_14,3,,9993,0,0
aircrafts_instance_14,4,,18199,0,0
aircrafts_instance_14,5,,9419,0,0
aircrafts_instance_14,6,,11844,0,0
aircrafts_instance_14,7,,18463,0,0
aircrafts_instance_14,8,,21164,0,0
aircrafts_instance_14,9,,12915,0,0
aircrafts_instance_14,10,,20786,0,0
aircrafts_instance_15,1,,27402,0,0
aircrafts_instance_15,2,,17853,0,0
aircrafts_instance_15,3,,20730,0,0
aircrafts_instance_15,4,,30690,0,0
aircrafts_instance_15,5,,29725,0,0
aircrafts_instance_15,6,,10803,0,0
aircrafts_instance_15,7,,19914,0,0
aircrafts_instance_15,8,,21106,0,0
aircrafts_instance_15,9,,27184,0,0
aircrafts_instance_15,10,,21121,0,0
aircrafts_instance_16,1,,10565,0,0
aircrafts_instance_16,2,,6996,0,0
aircrafts_instance_16,3,,12163,0,0
aircrafts_instance_16,4,,9393,0,0
aircrafts_instance_16,5,,15119,0,0
aircrafts_instance_16,6,,9437,0,0
aircrafts_instance_16,7,,12544,0,0
aircrafts_instance_16,8,,6557,0,0
aircrafts_instance_16,9,,11408,0,0
aircrafts_instance_16,10,,13555,0,0
aircrafts_instance_17,1,,17117,0,0
aircrafts_instance_17,2,,24797,0,0
aircrafts_instance_17,3,,18863,0,0
aircrafts_instance_17,4,,20607,0,0
aircrafts_instance_17,5,,18599,0,0
aircrafts_instance_17,6,,13684,0,0
aircrafts_instance_17,7,,17826,0,0
aircrafts_instance_17,8,,24462,0,0
aircrafts_instance_17,9,,26957,0,0
aircrafts_instance_17,10,,21570,0,0
aircrafts_instance_18,1,,17135,0,0
aircrafts_instance_18,2,,20748,0,0
aircrafts_instance_18,3,,17382,0,0
aircrafts_instance_18,4,,29337,0,0
aircrafts_instance_18,5,,21000,0,0
aircrafts_instance_18,6,,19319,0,0
aircrafts_instance_18,7,,14729,0,0
aircrafts_instance_18,8,,27120,0,0
aircrafts_instance_18,9,,76038,0,0
aircrafts_instance_18,10,,15984,0,0
aircrafts_instance_19,1,,20944,0,0
aircrafts_instance_19,2,,17079,0,0
aircrafts_instance_19,3,,20428,0,0
aircrafts_instance_19,4,,12191,0,0
aircrafts_instance_19,5,,18970,0,0
aircrafts_instance_19,6,,18733,0,0
aircrafts_instance_19,7,,26697,0,0
aircrafts_instance_19,8,,19672,0,0
aircrafts_instance_19,9,,9928,0,0
aircrafts_instance_19,10,,22171,0,0
aircrafts_instance_2,1,,87525,0,0
aircrafts_instance_2,2,,30865,0,0
aircrafts_instance_2,3,,30158,0,0
aircrafts_instance_2,4,,92040,0,0
aircrafts_instance_2,5,,99481,0,0
aircrafts_instance_2,6,,47182,1,1
aircrafts_instance_2,7,,58066,0,0
aircrafts_instance_2,8,,28826,0,0
aircrafts_instance_2,9,,34701,0,0
aircrafts_instance_2,10,,36253,1,1
aircrafts_instance_20,1,,19980,0,0
aircrafts_instance_20,2,,16538,0,0
aircrafts_instance_20,3,,23705,0,0
aircrafts_instance_20,4,,14932,0,0
aircrafts_instance_20,5,,17785,0,0
aircrafts_instance_20,6,,19422,0,0
aircrafts_instance_20,7,,12402,0,0
aircrafts_instance_20,8,,16432,0,0
aircrafts_instance_20,9,,7307,0,0
aircrafts_instance_20,10,,17509,0,0
aircrafts_instance_3,1,,20957,0,0
aircrafts_instance_3,2,,17956,0,0
aircrafts_instance_3,3,,10332,0,0
aircrafts_instance_3,4,,22046,0,0
aircrafts_instance_3,5,,20129,0,0
aircrafts_instance_3,6,,21755,0,0
aircrafts_instance_3,7,,25835,0,0
aircrafts_instance_3,8,,17672,0,0
aircrafts_instance_3,9,,18924,0,0
aircrafts_instance_3,10,,26313,0,0
aircrafts_instance_4,1,,32676,0,0
aircrafts_instance_4,2,,29475,0,0
aircrafts_instance_4,3,,25050,0,0
aircrafts_instance_4,4,,30544,0,0
aircrafts_instance_4,5,,61014,0,0
aircrafts_instance_4,6,,38988,0,0
aircrafts_instance_4,7,,103603,0,0
aircrafts_instance_4,8,,28713,0,0
aircrafts_instance_4,9,,43803,0,0
aircrafts_instance_4,10,,39949,0,0
aircrafts_instance_5,1,,19268,0,0
aircrafts_instance_5,2,,14712,0,0
aircrafts_instance_5,3,,6245,0,0
aircrafts_instance_5,4,,7803,0,0
aircrafts_instance_5,5,,10005,0,0
aircrafts_instance_5,6,,12412,0,0
aircrafts_instance_5,7,,15981,0,0
aircrafts_instance_5,8,,9758,0,0
aircrafts_instance_5,9,,19704,0,0
aircrafts_instance_5,10,,15981,0,0
aircrafts_instance_6,1,,22390,0,0
aircrafts_instance_6,2,,18517,0,0
aircrafts_instance_6,3,,17233,0,0
aircrafts_instance_6,4,,19974,0,0
aircrafts_instance_6,5,,17830,0,0
aircrafts_instance_6,6,,19128,0,0
aircrafts_instance_6,7,,10925,0,0
aircrafts_instance_6,8,,23318,0,0
aircrafts_instance_6,9,,18587,0,0
aircrafts_instance_6,10,,20572,0,0
aircrafts_instance_7,1,,22206,0,0
aircrafts_instance_7,2,,20693,0,0
aircrafts_instance_7,3,,24790,0,0
aircrafts_instance_7,4,,30799,0,0
aircrafts_instance_7,5,,27654,0,0
aircrafts_instance_7,6,,22053,0,0
aircrafts_instance_7,7,,25502,0,0
aircrafts_instance_7,8,,15653,0,0
aircrafts_instance_7,9,,24394,0,0
aircrafts_instance_7,10,,23936,0,0
aircrafts_instance_8,1,,13240,0,0
aircrafts_instance_8,2,,12442,0,0
aircrafts_instance_8,3,,8076,0,0
aircrafts_instance_8,4,,16168,0,0
aircrafts_instance_8,5,,14450,0,0
aircrafts_instance_8,6,,16086,0,0
aircrafts_instance_8,7,,8487,0,0
