Aicraft (A/C) Serial Number,Total Turn Around Time,Average Turn Around Time,Average Work Count,Total Minutes,Total Personnel
101,125:00,12:30,2,160,6
101,125:00,12:30,2,340,5
101,125:00,12:30,2,110,5
101,125:00,12:30,2,640,16
101,125:00,12:30,2,240,5
101,125:00,12:30,2,70,4
101,125:00,12:30,2,90,4
101,125:00,12:30,2,60,4
101,125:00,12:30,2,540,10
101,125:00,12:30,2,400,8
102,162:36,16:16,2,150,7
102,162:36,16:16,2,120,5
102,162:36,16:16,2,540,6
102,162:36,16:16,2,320,6
102,162:36,16:16,2,100,4
102,162:36,16:16,2,120,5
102,162:36,16:16,2,70,4
102,162:36,16:16,2,270,7
102,162:36,16:16,2,100,4
102,162:36,16:16,2,340,5
103,144:36,14:28,2,370,7
103,144:36,14:28,2,440,7
103,144:36,14:28,2,400,8
103,144:36,14:28,2,110,5
103,144:36,14:28,2,90,4
103,144:36,14:28,2,330,5
103,144:36,14:28,2,70,4
103,144:36,14:28,2,70,4
103,144:36,14:28,2,390,7
103,144:36,14:28,2,160,6
104,119:24,11:56,3,110,5
104,119:24,11:56,3,280,7
104,119:24,11:56,3,340,7
104,119:24,11:56,3,850,16
104,119:24,11:56,3,690,8
104,119:24,11:56,3,100,4
104,119:24,11:56,3,510,13
104,119:24,11:56,3,420,8
104,119:24,11:56,3,630,13
104,119:24,11:56,3,840,11
105,135:24,13:32,2,200,8
105,135:24,13:32,2,360,5
105,135:24,13:32,2,300,5
105,135:24,13:32,2,70,4
105,135:24,13:32,2,60,4
105,135:24,13:32,2,420,5
105,135:24,13:32,2,110,5
105,135:24,13:32,2,110,6
105,135:24,13:32,2,140,5
105,135:24,13:32,2,200,7
106,122:12,12:13,3,550,11
106,122:12,12:13,3,140,5
106,122:12,12:13,3,190,9
106,122:12,12:13,3,540,14
106,122:12,12:13,3,60,4
106,122:12,12:13,3,710,11
106,122:12,12:13,3,120,5
106,122:12,12:13,3,720,11
106,122:12,12:13,3,260,6
106,122:12,12:13,3,420,8
107,118:48,11:53,2,300,5
107,118:48,11:53,2,90,6
107,118:48,11:53,2,110,5
107,118:48,11:53,2,140,5
107,118:48,11:53,2,130,6
107,118:48,11:53,2,180,8
107,118:48,11:53,2,440,9
107,118:48,11:53,2,500,8
107,118:48,11:53,2,120,6
107,118:48,11:53,2,330,7
108,79:36,07:58,2,600,8
108,79:36,07:58,2,440,8
108,79:36,07:58,2,110,5
108,79:36,07:58,2,130,6
108,79:36,07:58,2,350,8
108,79:36,07:58,2,100,4
108,79:36,07:58,2,500,16
108,79:36,07:58,2,160,6
108,79:36,07:58,2,330,5
108,79:36,07:58,2,60,2
109,145:36,14:34,3,140,5
109,145:36,14:34,3,300,5
109,145:36,14:34,3,400,11
109,145:36,14:34,3,140,5
109,145:36,14:34,3,350,8
109,145:36,14:34,3,120,5
109,145:36,14:34,3,600,14
109,145:36,14:34,3,80,4
109,145:36,14:34,3,230,9
109,145:36,14:34,3,120,5
110,112:48,11:17,2,130,6
110,112:48,11:17,2,160,6
110,112:48,11:17,2,200,8
110,112:48,11:17,2,120,5
110,112:48,11:17,2,300,5
110,112:48,11:17,2,140,6
110,112:48,11:17,2,430,9
110,112:48,11:17,2,140,5
